song name,band name,band members,genre,album name,album label,album release date,song length,position on album,lyrics writers,music writers,lyrics
Fade to Black,Metallica,James Hetfield,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,06:55:00,4,James Hetfield,James Hetfield,"""Fade To Black""

Life, it seems, will fade away
Drifting further every day
Getting lost within myself
Nothing matters, no one else

I have lost the will to live
Simply nothing more to give
There is nothing more for me
Need the end to set me free

Things not what they used to be
Missing one inside of me
Deathly lost, this can't be real
Cannot stand this hell I feel

Emptiness is filling me
To the point of agony
Growing darkness taking dawn
I was me, but now he's gone

No one but me can save myself, but it's too late
Now I can't think, think why I should even try

Yesterday seems as though it never existed
Death greets me warm, now I will just say goodbye
Goodbye "
Fade to Black,Metallica,Kirk Hamett,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,06:55:00,4,,Lars Ulrich,"""Fade To Black""

Life, it seems, will fade away
Drifting further every day
Getting lost within myself
Nothing matters, no one else

I have lost the will to live
Simply nothing more to give
There is nothing more for me
Need the end to set me free

Things not what they used to be
Missing one inside of me
Deathly lost, this can't be real
Cannot stand this hell I feel

Emptiness is filling me
To the point of agony
Growing darkness taking dawn
I was me, but now he's gone

No one but me can save myself, but it's too late
Now I can't think, think why I should even try

Yesterday seems as though it never existed
Death greets me warm, now I will just say goodbye
Goodbye "
Fade to Black,Metallica,Robert Trujilo,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,06:55:00,4,,Cliff Burton,"""Fade To Black""

Life, it seems, will fade away
Drifting further every day
Getting lost within myself
Nothing matters, no one else

I have lost the will to live
Simply nothing more to give
There is nothing more for me
Need the end to set me free

Things not what they used to be
Missing one inside of me
Deathly lost, this can't be real
Cannot stand this hell I feel

Emptiness is filling me
To the point of agony
Growing darkness taking dawn
I was me, but now he's gone

No one but me can save myself, but it's too late
Now I can't think, think why I should even try

Yesterday seems as though it never existed
Death greets me warm, now I will just say goodbye
Goodbye "
Fade to Black,Metallica,Lars Ulrich,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,06:55:00,4,,Kirk Hammett,"""Fade To Black""

Life, it seems, will fade away
Drifting further every day
Getting lost within myself
Nothing matters, no one else

I have lost the will to live
Simply nothing more to give
There is nothing more for me
Need the end to set me free

Things not what they used to be
Missing one inside of me
Deathly lost, this can't be real
Cannot stand this hell I feel

Emptiness is filling me
To the point of agony
Growing darkness taking dawn
I was me, but now he's gone

No one but me can save myself, but it's too late
Now I can't think, think why I should even try

Yesterday seems as though it never existed
Death greets me warm, now I will just say goodbye
Goodbye "
For Whom the Bell Tolls,Metallica,James Hetfield,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,05:11:00,3,James Hetfield,James Hetfield,"""For Whom The Bell Tolls""

Make his fight on the hill in the early day
Constant chill deep inside
Shouting gun, on they run through the endless grey
On they fight, for they're right, yes, but who's to say?
For a hill, men would kill, why? They do not know
Stiffened wounds test their pride
Men of five, still alive through the raging glow
Gone insane from the pain that they surely know

For whom the bell tolls
Time marches on
For whom the bell tolls

Take a look to the sky just before you die
It's the last time you will
Blackened roar, massive roar, fills the crumbling sky
Shattered goal fills his soul with a ruthless cry
Stranger now, are his eyes, to this mystery
He hears the silence so loud
Crack of dawn, all is gone except the will to be
Now they see what will be, blinded eyes to see

For whom the bell tolls
Time marches on
For whom the bell tolls "
For Whom the Bell Tolls,Metallica,Kirk Hamett,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,05:11:00,3,,Lars Ulrich,"""For Whom The Bell Tolls""

Make his fight on the hill in the early day
Constant chill deep inside
Shouting gun, on they run through the endless grey
On they fight, for they're right, yes, but who's to say?
For a hill, men would kill, why? They do not know
Stiffened wounds test their pride
Men of five, still alive through the raging glow
Gone insane from the pain that they surely know

For whom the bell tolls
Time marches on
For whom the bell tolls

Take a look to the sky just before you die
It's the last time you will
Blackened roar, massive roar, fills the crumbling sky
Shattered goal fills his soul with a ruthless cry
Stranger now, are his eyes, to this mystery
He hears the silence so loud
Crack of dawn, all is gone except the will to be
Now they see what will be, blinded eyes to see

For whom the bell tolls
Time marches on
For whom the bell tolls "
For Whom the Bell Tolls,Metallica,Robert Trujilo,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,05:11:00,3,,Cliff Burton,"""For Whom The Bell Tolls""

Make his fight on the hill in the early day
Constant chill deep inside
Shouting gun, on they run through the endless grey
On they fight, for they're right, yes, but who's to say?
For a hill, men would kill, why? They do not know
Stiffened wounds test their pride
Men of five, still alive through the raging glow
Gone insane from the pain that they surely know

For whom the bell tolls
Time marches on
For whom the bell tolls

Take a look to the sky just before you die
It's the last time you will
Blackened roar, massive roar, fills the crumbling sky
Shattered goal fills his soul with a ruthless cry
Stranger now, are his eyes, to this mystery
He hears the silence so loud
Crack of dawn, all is gone except the will to be
Now they see what will be, blinded eyes to see

For whom the bell tolls
Time marches on
For whom the bell tolls "
For Whom the Bell Tolls,Metallica,Lars Ulrich,Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,05:11:00,3,,,"""For Whom The Bell Tolls""

Make his fight on the hill in the early day
Constant chill deep inside
Shouting gun, on they run through the endless grey
On they fight, for they're right, yes, but who's to say?
For a hill, men would kill, why? They do not know
Stiffened wounds test their pride
Men of five, still alive through the raging glow
Gone insane from the pain that they surely know

For whom the bell tolls
Time marches on
For whom the bell tolls

Take a look to the sky just before you die
It's the last time you will
Blackened roar, massive roar, fills the crumbling sky
Shattered goal fills his soul with a ruthless cry
Stranger now, are his eyes, to this mystery
He hears the silence so loud
Crack of dawn, all is gone except the will to be
Now they see what will be, blinded eyes to see

For whom the bell tolls
Time marches on
For whom the bell tolls "
Hit The Lights,Metallica,James Hetfield,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,04:17:00,1,'James Hetfield','James Hetfield',"[Verse 1]
No life ‘til leather
We're gonna kick some ass tonight
We got the metal madness
When our fans start screaming, it's right
Well, all right, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 2]
You know our fans are insane
We're gonna blow this place away
With volume higher
Than anything today
The only way, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again
You might also like
The Four Horsemen
Metallica
Whiplash
Metallica
Motorbreath
Metallica
[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 3]
With all-out screaming
We're gonna rip right through your brain
We got the lethal power
It is causing you sweet pain
Oh, sweet pain, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!
Hit the lights!

[Instrumental Break]
[Guitar Solo]"
Hit The Lights,Metallica,Kirk Hamett,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,04:17:00,1,,'Lars Ulrich',"[Verse 1]
No life ‘til leather
We're gonna kick some ass tonight
We got the metal madness
When our fans start screaming, it's right
Well, all right, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 2]
You know our fans are insane
We're gonna blow this place away
With volume higher
Than anything today
The only way, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again
You might also like
The Four Horsemen
Metallica
Whiplash
Metallica
Motorbreath
Metallica
[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 3]
With all-out screaming
We're gonna rip right through your brain
We got the lethal power
It is causing you sweet pain
Oh, sweet pain, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!
Hit the lights!

[Instrumental Break]
[Guitar Solo]"
Hit The Lights,Metallica,Robert Trujilo,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,04:17:00,1,,,"[Verse 1]
No life ‘til leather
We're gonna kick some ass tonight
We got the metal madness
When our fans start screaming, it's right
Well, all right, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 2]
You know our fans are insane
We're gonna blow this place away
With volume higher
Than anything today
The only way, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again
You might also like
The Four Horsemen
Metallica
Whiplash
Metallica
Motorbreath
Metallica
[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 3]
With all-out screaming
We're gonna rip right through your brain
We got the lethal power
It is causing you sweet pain
Oh, sweet pain, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!
Hit the lights!

[Instrumental Break]
[Guitar Solo]"
Hit The Lights,Metallica,Lars Ulrich,Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,04:17:00,1,,,"[Verse 1]
No life ‘til leather
We're gonna kick some ass tonight
We got the metal madness
When our fans start screaming, it's right
Well, all right, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 2]
You know our fans are insane
We're gonna blow this place away
With volume higher
Than anything today
The only way, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again
You might also like
The Four Horsemen
Metallica
Whiplash
Metallica
Motorbreath
Metallica
[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!

[Verse 3]
With all-out screaming
We're gonna rip right through your brain
We got the lethal power
It is causing you sweet pain
Oh, sweet pain, yeah

[Pre-Chorus]
When we start to rock
We never wanna stop again

[Chorus]
Hit the lights!
Hit the lights!
Hit the lights!
Hit the lights!

[Instrumental Break]
[Guitar Solo]"
Iron Horse / Born to Lose,Motorhead,Lemmy Kilmister,Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,05:21:00,4,Lemmy Kilmister,Phil Taylor,"""Iron Horse / Born To Lose""

He rides a road, that don't have no end,
An open highway, without any bends,
Tramp and his stallion, alone in a dream,
Proud in his colours, as the chromium gleams,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life

He lives his life, he's living it fast,
Don't try to hide, when the dice have been cast,
He rides a whirlwind, that cuts to the bone,
Loaded forever, and righteously stoned,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life

Yeah, slide it to me!

One day one day, they'll go for the sun,
Together they'll slide, on the eternal run,
Wasted forever, on speed bikes and booze,
Yeah tramp and the brothers, all born to lose,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life "
Iron Horse / Born to Lose,Motorhead,Phil Campbell,Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,05:21:00,4,,Mick Brown,"""Iron Horse / Born To Lose""

He rides a road, that don't have no end,
An open highway, without any bends,
Tramp and his stallion, alone in a dream,
Proud in his colours, as the chromium gleams,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life

He lives his life, he's living it fast,
Don't try to hide, when the dice have been cast,
He rides a whirlwind, that cuts to the bone,
Loaded forever, and righteously stoned,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life

Yeah, slide it to me!

One day one day, they'll go for the sun,
Together they'll slide, on the eternal run,
Wasted forever, on speed bikes and booze,
Yeah tramp and the brothers, all born to lose,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life "
Iron Horse / Born to Lose,Motorhead,Mikkey Dee,Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,05:21:00,4,,Guy 'Tramp' Lawrence,"""Iron Horse / Born To Lose""

He rides a road, that don't have no end,
An open highway, without any bends,
Tramp and his stallion, alone in a dream,
Proud in his colours, as the chromium gleams,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life

He lives his life, he's living it fast,
Don't try to hide, when the dice have been cast,
He rides a whirlwind, that cuts to the bone,
Loaded forever, and righteously stoned,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life

Yeah, slide it to me!

One day one day, they'll go for the sun,
Together they'll slide, on the eternal run,
Wasted forever, on speed bikes and booze,
Yeah tramp and the brothers, all born to lose,
On Iron Horse he flies, on Iron Horse he gladly dies,
Iron Horse his wife, Iron Horse his life "
Love Me Like a Reptyle,Motorhead,Lemmy Kilmister,Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:21:00,2,Lemmy Kilmister,Lemmy Kilmister,"""Love Me Like A Reptile""

Knew I had to bite you baby when I first set eyes on you,
That moment turned me on, I can't believe it's true,
I like to watch your body sway,
I got no choice, I'm gonna twist your tail,
Love Me Like A Reptile, I'm gonna sink my fangs in you

Thunder lizard, stony eye, you got me hypnotised,
Hot tongue breaks in and out and I can't believe my eyes,
And your soft white belly, next to mine,
Scaly baby, see you shine,
Love Me Like A Reptile, you're murder in disguise,
Black mamba, murder in disguise

Baby you're a rattlesnake, you know the way I feel,
Feel you crawling up my back, you've got no love to steal,
You know I've got my eyes on you,
You're petrified, gonna stick like glue,
Love Me Like A Reptile, shock you like an electric eel"
Love Me Like a Reptyle,Motorhead,Phil Campbell,Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:21:00,2,,Eddie Clarke,"""Love Me Like A Reptile""

Knew I had to bite you baby when I first set eyes on you,
That moment turned me on, I can't believe it's true,
I like to watch your body sway,
I got no choice, I'm gonna twist your tail,
Love Me Like A Reptile, I'm gonna sink my fangs in you

Thunder lizard, stony eye, you got me hypnotised,
Hot tongue breaks in and out and I can't believe my eyes,
And your soft white belly, next to mine,
Scaly baby, see you shine,
Love Me Like A Reptile, you're murder in disguise,
Black mamba, murder in disguise

Baby you're a rattlesnake, you know the way I feel,
Feel you crawling up my back, you've got no love to steal,
You know I've got my eyes on you,
You're petrified, gonna stick like glue,
Love Me Like A Reptile, shock you like an electric eel"
Love Me Like a Reptyle,Motorhead,Mikkey Dee,Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:21:00,2,,Phil Taylor,"""Love Me Like A Reptile""

Knew I had to bite you baby when I first set eyes on you,
That moment turned me on, I can't believe it's true,
I like to watch your body sway,
I got no choice, I'm gonna twist your tail,
Love Me Like A Reptile, I'm gonna sink my fangs in you

Thunder lizard, stony eye, you got me hypnotised,
Hot tongue breaks in and out and I can't believe my eyes,
And your soft white belly, next to mine,
Scaly baby, see you shine,
Love Me Like A Reptile, you're murder in disguise,
Black mamba, murder in disguise

Baby you're a rattlesnake, you know the way I feel,
Feel you crawling up my back, you've got no love to steal,
You know I've got my eyes on you,
You're petrified, gonna stick like glue,
Love Me Like A Reptile, shock you like an electric eel"
Motorhead,Motorhead,Lemmy Kilmister,Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,03:13:00,1,Lemmy Kilmister,Lemmy Kilmister,"""Motörhead""

Sunrise, wrong side of another day,
Sky high and six thousand miles away,
Don't know how long I've been awake,
Wound up in an amazing state,
Can't get enough,
And you know it's righteous stuff,
Goes up like prices at Christmas,
Motörhead, you can call me Motörhead, alright

Brain dead, total amnesia,
Get some mental anaesthesia,
Don't move, I'll shut the door and kill the lights,
And if I can't be wrong I could be right,
All good clean fun,
Have another stick of gum,
Man, you look better already,
Motörhead, remember me now Motörhead, alright

Fourth day, five day marathon,
We're moving like a parallelogram,
Don't move, I'll shut the door and kill the lights,
I guess I'll see you all on the ice,
I should be tired,
And all I am is wired,
Ain't felt this good for an hour,
Motörhead, remember me now, Motörhead alright"
Motorhead,Motorhead,Phil Campbell,Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,03:13:00,1,,,"""Motörhead""

Sunrise, wrong side of another day,
Sky high and six thousand miles away,
Don't know how long I've been awake,
Wound up in an amazing state,
Can't get enough,
And you know it's righteous stuff,
Goes up like prices at Christmas,
Motörhead, you can call me Motörhead, alright

Brain dead, total amnesia,
Get some mental anaesthesia,
Don't move, I'll shut the door and kill the lights,
And if I can't be wrong I could be right,
All good clean fun,
Have another stick of gum,
Man, you look better already,
Motörhead, remember me now Motörhead, alright

Fourth day, five day marathon,
We're moving like a parallelogram,
Don't move, I'll shut the door and kill the lights,
I guess I'll see you all on the ice,
I should be tired,
And all I am is wired,
Ain't felt this good for an hour,
Motörhead, remember me now, Motörhead alright"
Motorhead,Motorhead,Mikkey Dee,Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,03:13:00,1,,,"""Motörhead""

Sunrise, wrong side of another day,
Sky high and six thousand miles away,
Don't know how long I've been awake,
Wound up in an amazing state,
Can't get enough,
And you know it's righteous stuff,
Goes up like prices at Christmas,
Motörhead, you can call me Motörhead, alright

Brain dead, total amnesia,
Get some mental anaesthesia,
Don't move, I'll shut the door and kill the lights,
And if I can't be wrong I could be right,
All good clean fun,
Have another stick of gum,
Man, you look better already,
Motörhead, remember me now Motörhead, alright

Fourth day, five day marathon,
We're moving like a parallelogram,
Don't move, I'll shut the door and kill the lights,
I guess I'll see you all on the ice,
I should be tired,
And all I am is wired,
Ain't felt this good for an hour,
Motörhead, remember me now, Motörhead alright"
Paradise City,Guns N' Roses,Axl Rose,Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,06:46:00,6,Axl Rose,Axl Rose,"""Paradise City""

Take me down to the Paradise City
Where the grass is green and the girls are pretty
(Take me home) Oh, won't you please take me home?
Take me down to the Paradise City
Where the grass is green and the girls are pretty
(Take me home) Oh, won't you please take me home?

Just an urchin living under the street, I'm a
Hard case that's tough to beat
I'm your charity case, so buy me something to eat
I'll pay you at another time, take it to the end of the line
Rags and riches, or so they say, you gotta
Keep pushing for the fortune and fame
You know it's, it's all a gamble when it's just a game
You treat it like a capital crime, everybody's doing the time

Take me down to the Paradise City
Where the grass is green and the girls are pretty
Oh, won't you please take me home? Yeah-yeah
Take me down to the Paradise City
Where the grass is green and the girls are pretty
Take me home

Strapped in the chair of the city's gas chamber
Why I'm here, I can't quite remember
The Surgeon General says it's hazardous to breathe
I'd have another cigarette
But I can't see, tell me who you're gonna believe

Take me down to the Paradise City
Where the grass is green and the girls are pretty
Take me home, yeah-yeah
Take me down to the Paradise City
Where the grass is green and the girls are pretty
Oh, won't you please take me home, oh yeah

So far–away
So far–away
So far–away
So far–away

Captain America's been torn apart, now
He's a court jester with a broken heart
He said, ""Turn me around and take me back to the start""
I must be losing my mind, are you blind? I've seen it all a million times

Take me down to the Paradise City
Where the grass is green and the girls are pretty
Take me home, yeah-yeah
Take me down to the Paradise City
Where the grass is green and the girls are pretty
Oh, won't you please take me home
Take me down to the Paradise City
Where the grass is green and the girls are pretty
Take me home, yeah-yeah
Take me down to the Paradise City
Where the grass is green and the girls are pretty
Oh, won't you please take me home, home

I wanna go, I wanna know
Oh, won't you please take me home?
I wanna see, how good it can be
Oh, won't you please take me home?
Take me down to the Paradise City
Where the grass is green and the girls are pretty
(Take me home) Oh, won't you please take me home?
Take me down to the Paradise City
Where the grass is green and the girls are pretty
Oh, won't you please take me home?
Take me down (oh yeah), spin me 'round
Oh, won't you please take me home?
I wanna see, how good it can be
Oh, won't you please take me home?
I wanna see, how good it can be
Oh, take me home?
Take me down to the Paradise City
Where the grass is green and the girls are pretty
Oh, won't you please take me home?
I wanna go, I wanna know
Oh, won't you please take me home?
Baby"
